NO,imageURL,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
34,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,Aptos,฿259.50,0.00%,2.89%,2.61%,"฿56,325,388,527","฿2,242,526,221","217,061,364 APT"
35,https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png,Arbitrum,฿42.62,0.20%,0.07%,7.79%,"฿54,317,123,700","฿4,656,540,080","1,275,000,000 ARB"
36,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,Cronos,฿2.07,0.50%,1.19%,2.07%,"฿52,371,116,722","฿249,654,474","25,263,013,692 CRO"
37,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VeChain,฿0.6668,0.15%,1.17%,2.67%,"฿48,486,313,367","฿1,103,000,016","72,714,516,834 VET"
38,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,NEAR Protocol,฿49.68,0.32%,1.29%,3.56%,"฿46,704,136,563","฿1,450,889,019","940,149,811 NEAR"
39,https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png,Quant,"฿3,590.92",0.46%,0.89%,1.11%,"฿43,352,194,844","฿524,665,934","12,072,738 QNT"
40,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,The Graph,฿4.03,0.08%,0.25%,4.79%,"฿36,713,601,461","฿651,129,805","9,105,437,142 GRT"
41,https://s2.coinmarketcap.com/static/img/coins/64x64/11840.png,Optimism,฿53.91,0.13%,0.55%,1.09%,"฿36,612,281,041","฿4,678,322,518","679,080,066 OP"
42,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,Maker,"฿36,285.14",0.48%,5.15%,5.24%,"฿35,474,231,468","฿2,645,158,605","977,631 MKR"
43,https://s2.coinmarketcap.com/static/img/coins/64x64/11221.png,BitDAO,฿19.48,0.83%,0.63%,1.81%,"฿35,906,656,215","฿4,624,062","1,843,669,839 BIT"
44,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,Aave,"฿2,466.36",0.16%,1.33%,10.28%,"฿35,733,252,415","฿1,377,944,265","14,488,264 AAVE"
45,https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png,Algorand,฿3.93,0.16%,1.33%,6.68%,"฿30,654,866,422","฿1,200,971,827","7,794,018,322 ALGO"
46,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,Stacks,฿21.44,0.00%,0.78%,3.80%,"฿29,928,546,687","฿534,924,600","1,395,622,272 STX"
47,https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png,The Sandbox,฿15.45,0.22%,0.01%,1.78%,"฿29,890,427,823","฿2,231,612,686","1,934,931,926 SAND"
48,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,MultiversX,"฿1,154.62",0.02%,0.59%,12.60%,"฿29,744,434,089","฿447,028,575","25,742,132 EGLD"
49,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,EOS,฿26.66,0.07%,1.20%,1.10%,"฿29,267,376,833","฿2,605,170,093","1,097,649,492 EOS"
50,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,Theta Network,฿28.30,0.47%,1.62%,4.11%,"฿28,303,010,242","฿552,406,202","1,000,000,000 THETA"
51,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,Tezos,฿29.93,1.25%,2.64%,2.19%,"฿28,321,415,619","฿697,709,347","946,248,747 XTZ"
52,https://s2.coinmarketcap.com/static/img/coins/64x64/10603.png,Immutable,฿26.04,0.39%,0.02%,1.52%,"฿28,175,282,145","฿639,811,832","1,081,888,200 IMX"
53,https://s2.coinmarketcap.com/static/img/coins/64x64/18876.png,ApeCoin,฿72.67,0.87%,0.88%,2.88%,"฿26,786,477,618","฿1,844,414,907","368,593,750 APE"
54,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,Synthetix,฿99.82,0.81%,5.81%,2.19%,"฿26,703,456,657","฿2,784,397,462","267,546,090 SNX"
55,https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png,Axie Infinity,฿222.64,0.22%,0.90%,0.51%,"฿26,646,333,393","฿1,831,287,034","119,620,744 AXS"
56,https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png,Decentraland,฿13.90,0.00%,0.18%,3.88%,"฿26,307,583,453","฿1,240,554,279","1,893,095,371 MANA"
57,https://s2.coinmarketcap.com/static/img/coins/64x64/19891.png,USDD,฿34.48,0.15%,0.24%,1.59%,"฿25,054,392,899","฿388,151,922","726,647,502 USDD"
58,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,Fantom,฿8.74,0.06%,0.55%,4.93%,"฿24,457,987,171","฿1,676,444,833","2,799,626,886 FTM"
59,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,Bitcoin SV,"฿1,267.35",0.16%,2.14%,2.88%,"฿24,444,190,474","฿1,295,251,715","19,266,077 BSV"
60,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,XDC Network,฿1.74,0.48%,3.28%,51.15%,"฿24,156,269,094","฿513,649,907","13,851,799,593 XDC"
61,https://s2.coinmarketcap.com/static/img/coins/64x64/7226.png,Injective,฿292.72,0.03%,3.69%,7.71%,"฿23,419,445,597","฿1,060,648,792","80,005,555 INJ"
62,https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,Render,฿63.01,0.37%,0.94%,8.84%,"฿23,288,456,787","฿531,288,304","369,614,008 RNDR"
63,https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png,Curve DAO Token,฿25.97,0.05%,0.30%,8.76%,"฿22,671,781,635","฿817,687,352","872,755,477 CRV"
64,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,Neo,฿309.43,0.09%,2.49%,3.86%,"฿21,824,114,834","฿945,453,360","70,538,831 NEO"
65,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png,Flow,฿20.81,0.79%,3.55%,4.45%,"฿21,566,975,600","฿1,204,863,078","1,036,200,000 FLOW"
66,https://s2.coinmarketcap.com/static/img/coins/64x64/2943.png,Rocket Pool,"฿1,070.50",0.35%,0.94%,14.75%,"฿20,925,676,415","฿178,966,073","19,547,496 RPL"
67,https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png,eCash,฿0.001059,0.18%,0.68%,1.95%,"฿20,603,126,935","฿775,785,855","19,451,154,673,293 XEC"
68,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,Pepe,฿0.00005124,0.16%,0.96%,5.46%,"฿20,076,222,153","฿1,570,059,631","391,790,000,000,000 PEPE"
69,https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png,Kava,฿30.84,0.05%,1.35%,4.84%,"฿19,971,282,311","฿364,160,483","647,563,529 KAVA"
70,https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png,Gala,฿0.8976,0.16%,2.13%,0.86%,"฿19,903,122,513","฿1,206,805,693","22,175,943,431 GALA"
71,https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png,KuCoin Token,฿204.06,0.11%,0.43%,5.38%,"฿19,742,698,797","฿33,864,791","96,794,195 KCS"
72,https://s2.coinmarketcap.com/static/img/coins/64x64/7334.png,Conflux,฿6.36,0.13%,0.41%,4.52%,"฿19,556,158,612","฿559,689,826","3,072,998,793 CFX"
73,https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png,Chiliz,฿2.73,0.17%,0.38%,2.69%,"฿19,399,246,595","฿984,091,191","7,104,696,058 CHZ"
74,https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png,Pax Dollar,฿34.39,0.23%,0.06%,1.82%,"฿18,901,304,677","฿112,198,262","549,583,263 USDP"
75,https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png,Compound,"฿2,353.80",0.51%,4.74%,12.32%,"฿18,329,339,956","฿2,299,506,748","7,787,010 COMP"
76,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,Klaytn,฿5.73,0.45%,1.04%,5.72%,"฿17,992,982,285","฿325,968,313","3,142,087,204 KLAY"
77,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,IOTA,฿6.36,0.24%,0.67%,6.63%,"฿17,686,436,134","฿175,263,094","2,779,530,283 MIOTA"
78,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,Zcash,"฿1,079.16",0.29%,1.27%,2.48%,"฿17,628,752,499","฿583,880,661","16,328,269 ZEC"
79,https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png,Terra Classic,฿0.002933,0.07%,3.58%,9.02%,"฿17,039,341,436","฿768,506,788","5,808,934,848,366 LUNC"
80,https://s2.coinmarketcap.com/static/img/coins/64x64/5176.png,Tether Gold,"฿67,706.98",0.24%,0.26%,1.22%,"฿16,692,137,837","฿167,868,129","246,524 XAUT"
81,https://s2.coinmarketcap.com/static/img/coins/64x64/4705.png,PAX Gold,"฿66,746.91",0.06%,0.00%,1.27%,"฿16,684,998,833","฿121,133,624","249,954 PAXG"
82,https://s2.coinmarketcap.com/static/img/coins/64x64/11857.png,GMX,"฿1,785.26",0.19%,0.97%,10.77%,"฿15,879,438,130","฿469,855,148","8,892,396 GMX"
83,https://s2.coinmarketcap.com/static/img/coins/64x64/5899.png,Casper,฿1.40,0.26%,0.24%,8.49%,"฿15,639,483,175","฿205,095,656","11,192,102,914 CSPR"
84,https://s2.coinmarketcap.com/static/img/coins/64x64/16086.png,BitTorrent(New),฿0.00001645,0.29%,0.10%,0.11%,"฿15,649,322,992","฿437,446,379","951,421,714,286,000 BTT"
85,https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png,Huobi Token,฿93.09,0.52%,0.35%,4.86%,"฿15,102,174,796","฿884,856,732","162,233,844 HT"
86,https://s2.coinmarketcap.com/static/img/coins/64x64/6953.png,Frax Share,฿207.12,0.13%,1.36%,9.08%,"฿15,176,299,340","฿455,215,313","73,237,522 FXS"
87,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,Sui,฿22.99,0.10%,4.95%,3.38%,"฿15,047,430,769","฿2,077,524,779","654,546,806 SUI"
88,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,Mina,฿15.74,0.04%,1.50%,5.74%,"฿14,777,633,981","฿205,124,713","938,967,981 MINA"
89,https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,GateToken,฿144.01,0.67%,1.61%,5.61%,"฿14,068,319,138","฿21,053,519","97,701,411 GT"
90,https://s2.coinmarketcap.com/static/img/coins/64x64/3306.png,Gemini Dollar,฿33.84,0.23%,0.60%,1.99%,"฿14,012,712,539","฿31,669,002","413,728,494 GUSD"
91,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,Dash,"฿1,148.47",0.10%,0.34%,1.14%,"฿13,066,129,620","฿2,042,025,069","11,377,069 DASH"
92,https://s2.coinmarketcap.com/static/img/coins/64x64/5964.png,Trust Wallet Token,฿29.91,0.32%,0.04%,2.32%,"฿12,457,997,320","฿296,103,199","416,649,900 TWT"
93,https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png,Nexo,฿22.24,0.05%,0.26%,2.33%,"฿12,456,738,685","฿52,659,330","560,000,011 NEXO"
94,https://s2.coinmarketcap.com/static/img/coins/64x64/7501.png,WOO Network,฿7.18,0.24%,1.83%,9.21%,"฿12,366,010,903","฿189,634,511","1,723,253,601 WOO"
95,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,Zilliqa,฿0.7566,0.12%,0.80%,1.79%,"฿12,002,575,266","฿760,689,494","15,867,699,447 ZIL"
96,https://s2.coinmarketcap.com/static/img/coins/64x64/11156.png,dYdX,฿75.22,0.37%,1.36%,1.85%,"฿11,753,350,567","฿2,147,416,885","156,256,174 DYDX"
97,https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png,THORChain,฿33.74,0.45%,0.89%,5.74%,"฿11,267,280,179","฿327,763,580","333,904,557 RUNE"
98,https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png,1inch Network,฿11.03,0.23%,2.80%,37.72%,"฿11,233,199,852","฿1,142,190,128","1,018,142,077 1INCH"
